sid_x,"S1.W1
Monday (03-10-2022)
09:00 - 10:00
Lecture
U020
","S1.W1
Wednesday (05-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
12:00 - 13:00
Tutorial

","S1.W2
Thursday (13-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W3
Wednesday (19-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W3
Wednesday (19-10-2022)
12:00 - 13:00
Tutorial

","S1.W3
Thursday (20-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W4
Wednesday (26-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W4
Wednesday (26-10-2022)
12:00 - 13:00
Tutorial

","S1.W4
Thursday (27-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W5
Wednesday (02-11-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W5
Wednesday (02-11-2022)
12:00 - 13:00
Tutorial

","S1.W5
Thursday (03-11-2022)
14:00 - 15:00
Lecture
CC011
"
0,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,X,X,,X
1,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
2,GPS,GPS,GPS,,X,X,,GPS,X,,GPS,X,,X
3,,,GPS,,GPS,X,,GPS,X,,GPS,X,,GPS
4,GPS,X,X,,GPS,X,,GPS,X,,GPS,X,,GPS
5,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
6,GPS,X,X,,GPS,X,,GPS,X,,GPS,GPS,,GPS
7,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,X
8,GPS,X,X,,GPS,GPS,,GPS,X,,GPS,X,,GPS
9,GPS,GPS,GPS,,GPS,GPS,,X,X,,GPS,GPS,,GPS
10,X,GPS,GPS,,GPS,GPS,,X,X,,GPS,X,,GPS
11,GPS,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
12,GPS,GPS,X,,X,GPS,,Ex,X,,GPS,X,,X
13,GPS,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
14,,,,,,,,,,,,,,
15,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
16,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
17,,,,,,,,,,,,,,
18,X,X,X,,X,X,,X,,,,,,
19,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
20,GPS,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,GPS,,X
21,GPS,X,GPS,,GPS,X,,GPS,X,,GPS,X,,X
22,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
23,Ex,Ex,Ex,Ex,Ex,GPS,,GPS,X,,GPS,GPS,,GPS
24,GPS,X,X,,X,X,,X,X,,X,X,,X
25,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
26,GPS,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
27,GPS,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,X,,GPS
28,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
29,,,,,,,,,,,,,,
30,X,GPS,GPS,,GPS,X,,X,GPS,,X,X,,X
31,X,X,X,,X,X,,X,X,,X,X,,GPS
32,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
33,,,,,,,,,,,,,,
34,X,X,GPS,,X,GPS,,GPS,X,,X,X,,GPS
35,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
36,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
37,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
38,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
39,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
40,GPS,X,GPS,,X,X,,GPS,X,,GPS,X,,X
41,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
42,X,GPS,X,,X,GPS,,X,X,,GPS,X,,GPS
43,X,X,X,,GPS,X,,GPS,X,,X,X,,X
